% Model:              fick_darcy_comb_zaloha1_032025_small_dt.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jun 10 2025, 21:24
% Table:              Table 3 - Volume Average 2
% Time (s)                                        c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)
78000                                             0.3860776509895965                                0.3898497538653165                                0.3901315579319566                                0.3930611179619355
78600                                             0.38611832127879636                               0.38990118970000315                               0.39017620095863215                               0.39311341827250185
79200                                             0.3861589915679884                                0.38995177623792926                               0.39022084398531104                               0.3931657185830778
79800                                             0.3861996618571863                                0.3899943508500816                                0.3902654870119917                                0.3932180188936464
80400                                             0.38624033214637615                               0.3900369254622381                                0.390310130038667                                 0.3932703192042135
81000                                             0.38628100243556923                               0.3900795000743879                                0.3903547730653452                                0.39332261951478903
81600                                             0.3863216727247694                                0.39012207468654686                               0.3903994160920248                                0.3933749198253569
82200                                             0.38636234301396505                               0.3901646492986971                                0.39044405911869196                               0.39342722013593134
82800                                             0.3864030133031558                                0.3902072239108546                                0.39048870214537357                               0.3934795204464981
83400                                             0.386443683592348                                 0.39024979852300373                               0.3905333451720539                                0.3935318207570674
84000                                             0.38648435388154345                               0.3902923731351597                                0.3905779881987291                                0.3935841210676449
84600                                             0.3865250241707403                                0.39033494774731314                               0.39062263122540536                               0.39363642137821075
85200                                             0.38656569445993383                               0.3903775223594633                                0.3906672742520847                                0.3936887216887807
85800                                             0.3866063647491338                                0.3904200969716167                                0.39071191727876126                               0.3937410219993549
86400                                             0.386647035038331                                 0.3904626715837645                                0.3907565603054432                                0.39379332230992475
87000                                             0.3866877053275216                                0.39050524619592175                               0.39080120333211715                               0.39384562262049366
87600                                             0.38672837561671375                               0.39054782080807376                               0.3908458463587974                                0.39389792293106685
88200                                             0.3867690459059159                                0.3905903954202311                                0.39089048938547083                               0.3939502232416349
88800                                             0.38680971619510834                               0.39063297003238295                               0.39093513241215083                               0.3940025235522066
89400                                             0.3868433550770619                                0.39067554464453524                               0.39097977543882856                               0.39405482386277924
90000                                             0.38687545962320763                               0.3907181192566894                                0.39102441846550473                               0.39410712417334903
90600                                             0.38690756416935573                               0.390760693868844                                 0.391069061492183                                 0.3941594244839237
91200                                             0.38693966871550284                               0.3908032684809967                                0.39111370451886146                               0.3942117247944883
91800                                             0.3869717732616497                                0.3908458430931492                                0.3911583475455409                                0.3942640251050565
92400                                             0.3870038778077961                                0.3908884177053046                                0.3912029905722137                                0.3943163254156316
93000                                             0.38703598235394654                               0.3909309923174538                                0.3912476335988896                                0.3943686257262067
93600                                             0.3870680869000903                                0.3909735669296094                                0.3912922766255676                                0.3944209260367704
94200                                             0.3871001914462424                                0.39101614154176023                               0.39133691965224904                               0.3944732263473472
94800                                             0.3871322959923915                                0.39105871615391663                               0.39138156267892116                               0.39452552665791657
95400                                             0.3871644005385335                                0.3911012907660661                                0.3914262057056022                                0.39457782696848676
96000                                             0.38719650508468256                               0.3911438653782209                                0.39147084873227994                               0.3946301272790603
96600                                             0.38722860963083156                               0.3911864399903785                                0.3915154917589587                                0.3946824275896296
97200                                             0.3872607141769778                                0.3912290146025278                                0.39156013478563917                               0.3947347279001995
97800                                             0.38729281872312993                               0.39127158921468297                               0.3916047778123113                                0.39478702821076656
98400                                             0.3873249232692733                                0.3913141638268371                                0.3916494208389884                                0.3948393285213462
99000                                             0.3873570278154189                                0.39135673843899355                               0.39169406386566397                               0.3948916288319121
99600                                             0.3873891323615669                                0.3913993130511472                                0.39173870689234225                               0.3949439291424839
100200                                            0.38742123690771696                               0.39144188766329496                               0.3917833499190209                                0.3949962294530547
100800                                            0.3874533414538574                                0.3914844622754487                                0.3918279929456994                                0.39504852976362415
101400                                            0.3874854460000085                                0.39152703688760315                               0.39187263597237715                               0.3951008300741966
102000                                            0.387517550546157                                 0.3915696114997562                                0.39191727899905493                               0.39515313038476596
102600                                            0.38754965509230294                               0.3916121861119081                                0.39196192202573227                               0.3952054306953368
103200                                            0.3875817596384523                                0.39165476072406197                               0.3920065650524112                                0.39525773100590195
103800                                            0.38761386418459726                               0.39169733533621975                               0.392051208079085                                 0.3953100313164802
104400                                            0.38764596873074775                               0.39173990994836594                               0.3920958511057659                                0.395362331627046
105000                                            0.3876780732768998                                0.39178248456052567                               0.3921404941324402                                0.3954146319376209
105600                                            0.3877101778230399                                0.3918250591726751                                0.3921851371591215                                0.39546693224819174
106200                                            0.38774228236918956                               0.3918676337848313                                0.3922297801857997                                0.39551923255876303
106800                                            0.3877743869153384                                0.3919102083969833                                0.3922744232124733                                0.3955715328693325
107400                                            0.38780649146148544                               0.39195278300913194                               0.39231906623915586                               0.3956238331799021
108000                                            0.387838596007637                                 0.391995357621288                                 0.3923637092658261                                0.3956761334904723
108600                                            0.3878707005537822                                0.3920379322334413                                0.39240835229250254                               0.3957284338010461
109200                                            0.38790280509992814                               0.39208050684559603                               0.39245299531918776                               0.3957807341116162
109800                                            0.38793490964607397                               0.39212308145774766                               0.3924976383458642                                0.3958330344221858
110400                                            0.3879670141922234                                0.3921656560699025                                0.39254228137254277                               0.3958853347327529
111000                                            0.3879991187383658                                0.3922082306820537                                0.3925869243992151                                0.39593217855600565
111600                                            0.3880312232845188                                0.39225080529420736                               0.3926273567229244                                0.39597732586470374
112200                                            0.38806332783066827                               0.39229337990636204                               0.39266561067130257                               0.39602247317339095
112800                                            0.38809543237681243                               0.392335954518516                                 0.3927038646196712                                0.3960676204820834
113400                                            0.38812753692296037                               0.3923785291306706                                0.3927421185680498                                0.3961127677907827
114000                                            0.38815964146911147                               0.3924211037428267                                0.3927803725164252                                0.3961579150994747
114600                                            0.3881917460152604                                0.39246367835497736                               0.3928186264647998                                0.39620306240816694
115200                                            0.3882238505614                                   0.39250625296712954                               0.3928568804131715                                0.39624820971685915
115800                                            0.3882559551075471                                0.392548827579279                                 0.3928951343615541                                0.3962933570255558
116400                                            0.38828805965369917                               0.39259140219143235                               0.39293338830992947                               0.3963385043342492
117000                                            0.3883201641998436                                0.39263397680358497                               0.3929716422583019                                0.3963836516429441
117600                                            0.3883522687459927                                0.3926765514157415                                0.3930098962066762                                0.3964287989516343
118200                                            0.38838437329214087                               0.39271601090823355                               0.3930481501550538                                0.3964739462603296
118800                                            0.3884164778382886                                0.39275237262948465                               0.3930864041034287                                0.39651909356901555
119400                                            0.3884485823844353                                0.39278873435073075                               0.3931246580518023                                0.39656424087771014
120000                                            0.38848068693058524                               0.39282509607197713                               0.39316291200017917                               0.3966093881864071
120600                                            0.38851279147673806                               0.39286145779321985                               0.39320116594855786                               0.3966545354951032
121200                                            0.38854489602287823                               0.3928978195144732                                0.39323941989693284                               0.3966996828037954
121800                                            0.38857700056902233                               0.39293418123572216                               0.3932776738453108                                0.39674483011248607
122400                                            0.38860910511517543                               0.3929705429569662                                0.3933159277936875                                0.39678997742118116
123000                                            0.38864120966131466                               0.39300690467821503                               0.3933541817420572                                0.3968351247298792
