% Model:              fick_darcy_comb_zaloha1_032025_small_dt.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jun 10 2025, 20:41
% Table:              Table 3 - Volume Average 2
% Time (s)                                        c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)                               c_b+(c_w/rho_0) (1)
55200                                             0.3854942095338795                                0.38892910066905595                               0.38921773446618685                               0.3918278575983958
55800                                             0.3855543711743023                                0.38899974294919504                               0.38929109472990425                               0.39191089982304517
56400                                             0.3856145328147312                                0.38907038522932597                               0.3893594384516634                                0.3919883441699135
57000                                             0.38567469445514385                               0.3891410275094622                                0.3894249020062994                                0.3920625973153546
57600                                             0.3857348560956106                                0.3892116697895898                                0.3894903655609247                                0.39213685046078545
58200                                             0.3857950177360428                                0.3892823120697174                                0.38955582911554837                               0.39221110360620404
58800                                             0.38585517937649905                               0.38935295434984224                               0.38962129267016515                               0.39228535675163023
59400                                             0.38591534101692165                               0.389423596629974                                 0.3896867562247998                                0.39235960989707297
60000                                             0.38597550265736097                               0.3894879464122988                                0.38975221977944685                               0.3924338630424998
60600                                             0.386035664297794                                 0.3895509813834148                                0.3898176833340691                                0.39250811618792036
61200                                             0.3860958259382336                                0.3896140163544859                                0.38988314688870307                               0.3925823693333697
61800                                             0.3861559875786751                                0.3896770513255763                                0.3899486104433287                                0.3926566224787769
62400                                             0.38621614921911007                               0.38974008629668194                               0.3900140739979481                                0.3927308756242106
63000                                             0.386276310859553                                 0.3898031212677788                                0.3900795375525817                                0.39280512876964113
63600                                             0.38633647249997277                               0.3898661562388855                                0.3901450011072153                                0.3928793819150778
64200                                             0.3863966341404177                                0.3899291912099764                                0.3902104646618378                                0.3929536350605231
64800                                             0.3864493676246826                                0.38999222618104795                               0.3902759282164854                                0.39302788820594303
65400                                             0.386501478869871                                 0.3900552611521486                                0.3903413917711049                                0.3931021413513721
66000                                             0.38655359011508594                               0.39011829612323595                               0.3904068553257263                                0.3931763944968153
66600                                             0.3866057013602927                                0.3901813310943415                                0.39047231888036543                               0.39325064764224577
67200                                             0.38665781260549215                               0.3902443660654307                                0.3905377824349922                                0.3933249007876577
67800                                             0.386709923850706                                 0.390307401036534                                 0.39060324598961943                               0.3933991539331035
68400                                             0.38676203509592                                  0.39037043600763094                               0.3906687095442615                                0.39347340707852596
69000                                             0.38681414634112915                               0.3904334709787389                                0.39073417309888714                               0.39354766022395704
69600                                             0.38686625758633447                               0.39049650594981694                               0.39079963665350265                               0.39362191336937913
70200                                             0.38691836883156194                               0.39055954092090206                               0.39086510020815335                               0.39369616651481043
70800                                             0.386970480076758                                 0.3906225758920179                                0.390930563762771                                 0.3937704196602669
71400                                             0.3870225913219579                                0.3906856108631045                                0.3909960273173954                                0.3938446728056701
72000                                             0.38707470256716936                               0.39074864583419355                               0.3910614908720144                                0.3939189259511156
72600                                             0.3871268138123836                                0.3908116808052973                                0.3911269544266396                                0.39399317909654963
73200                                             0.38717892505757273                               0.390874715776383                                 0.3911924179812715                                0.3940674322419524
73800                                             0.3872310363027845                                0.3909377507475104                                0.3912578815359123                                0.39414168538739247
74400                                             0.3872831475479932                                0.3910007857185878                                0.3913210688575654                                0.3942106435367169
75000                                             0.38733525879321745                               0.3910638206896712                                0.3913769312501289                                0.3942742060189535
75600                                             0.3873873700384205                                0.39112685566076666                               0.3914327936427022                                0.3943377685011935
76200                                             0.3874394812836216                                0.39118989063185755                               0.391488656035243                                 0.39440133098343816
76800                                             0.38749159252883475                               0.3912529256029635                                0.39154451842781696                               0.39446489346569374
77400                                             0.38754370377404407                               0.39131596057405554                               0.3916003808203777                                0.3945284559479369
78000                                             0.38759581501924295                               0.39137899554515004                               0.39165624321295023                               0.3945920184301604
78600                                             0.3876479262644464                                0.3914420305162511                                0.39171210560550157                               0.3946555809124368
79200                                             0.3877000375096606                                0.3914988589167048                                0.39176796799810026                               0.3947191433946708
79800                                             0.3877521487548768                                0.39155262744487124                               0.3918238303906336                                0.39478270587692016
80400                                             0.38780426000007323                               0.39160639597304353                               0.39187969278320484                               0.39484626835916536
81000                                             0.3878563712452816                                0.3916601645012126                                0.39193555517575207                               0.394909830841399
81600                                             0.3879084824904933                                0.39171393302937646                               0.39199141756834194                               0.3949733933236411
82200                                             0.38796059373570746                               0.39176770155756024                               0.3920472799608837                                0.39503695580588044
82800                                             0.3880127049808959                                0.39182147008572815                               0.3921031423534671                                0.39510051828813475
83400                                             0.3880648162261041                                0.39187523861391077                               0.3921590047460212                                0.3951640807703774
84000                                             0.388116927471334                                 0.3919290071420624                                0.3922148671385869                                0.3952276432526157
84600                                             0.38816903871652975                               0.3919827756702342                                0.39227072953114                                  0.3952912057348572
85200                                             0.3882211499617666                                0.3920365441984142                                0.3923265919237133                                0.3953547682170958
85800                                             0.388273261206967                                 0.3920903127265676                                0.3923824543162652                                0.3954183306993415
86400                                             0.38832537245216686                               0.3921440812547391                                0.3924383167088334                                0.3954818931816045
87000                                             0.388377483697377                                 0.39219784978290323                               0.3924941791014031                                0.3955454556638552
